,Stock,A,B,C,D,J,K,M,N,P,Q,W,X,Y,Z,
1032,DDR,0,0,0,0.220855024,0.110427512,0,0,0.078876794,0.157753589,0.236630383,0.047326077,0,0.015775359,0.132355261,1
1033,DDS,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,1
1034,DE,0,0.072036673,0.004365859,0.646234447,0.008731718,0.036673215,0,0.106417813,0.030561013,0.039292731,0.002182929,0.002182929,0.006548788,0.044771884,1
1035,DECK,0,0.013334222,0,0.474764984,0.013334222,0.213347557,0,0,0.053336889,0.165211014,0,0,0,0.066671111,1
1036,DEF,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1037,DEG,0,0.15470297,0,0.092821782,0.030940594,0.145420792,0,0.202660891,0.247524752,0.030940594,0,0,0,0.094987624,1
1038,DEI,0,0,0,0.142146411,0,0,0,0.355366027,0.289267946,0.142146411,0,0,0,0.071073205,1
1039,DEL,0,0.02962963,0,0.718518519,0.014814815,0,0,0.162962963,0.02962963,0.044444444,0,0,0,0,1
1040,DELL,0,0.021751642,0,0.470714587,0.074544688,0.016943622,0,0,0.053472786,0.084713581,0.000453159,0.004078433,0.026355739,0.246971764,1
1041,DEM,0,0,0,0.568089431,0,0,0,0,0.406504065,0,0,0,0,0.025406504,1
1042,DENN,0,0,0,0.222614841,0,0,0,0,0.141342756,0.530035336,0,0,0.035335689,0.070671378,1
1043,DEO,0,0.100835494,0,0.238259867,0.00480169,0.049265341,0,0.202247191,0.156295016,0.190675118,0.00960338,0,0.00960338,0.038413522,1
1044,DEPO,0,0,0,0.923076923,0.076923077,0,0,0,0,0,0,0,0,0,1
1045,DES,0,0,0,0.569160998,0,0,0,0,0.113378685,0.090702948,0,0,0,0.22675737,1
1046,DEST,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1047,DEX,0,0,0,0.952380952,0,0,0,0.047619048,0,0,0,0,0,0,1
1048,DF,0,0.036549708,0,0.255847953,0,0.105445906,0,0.11878655,0.164473684,0.14619883,0,0,0,0.172697368,1
1049,DFJ,0,0,0,0.770114943,0,0,0,0,0.114942529,0.114942529,0,0,0,0,1
1050,DFS,0,0.045458804,0.001735069,0.381052354,0.013533537,0.031307583,0,0.129980949,0.102778539,0.180568617,0.020473813,0.006246248,0.022208881,0.064655606,1
1051,DFT,0,0.016108247,0,0.653994845,0.016108247,0,0,0.161082474,0.016108247,0.072164948,0,0.016108247,0,0.048324742,1
1052,DG,0,0.014750713,0.003277936,0.420165864,0.016389681,0.15876684,0,0.06883666,0.091782214,0.16702724,0.001638968,0.001638968,0.006555872,0.049169043,1
1053,DGAZ,0,0,0,0.740932849,0,0,0,0,0.111718469,0.079798907,0,0,0,0.067549775,1
1054,DGI,0,0.277777778,0.030864198,0.222222222,0,0.049382716,0,0.12345679,0.141975309,0.086419753,0,0.030864198,0.012345679,0.024691358,1
1055,DGICA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1056,DGIT,0,0.017758835,0,0.414846386,0,0.034629728,0,0,0.008879418,0.506126798,0,0,0.008879418,0.008879418,1
1057,DGL,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0.6,1
1058,DGLD,0,0,0,0.035714286,0,0,0,0,0.214285714,0.75,0,0,0,0,1
1059,DGP,0,0.235201882,0,0.666797334,0,0,0,0,0.019600157,0.05880047,0,0,0,0.019600157,1
1060,DGS,0,0,0,0.90376569,0,0,0,0,0.046025105,0.050209205,0,0,0,0,1
1061,DGX,0,0.040082344,0,0.786874619,0.00517236,0.009568867,0,0.05159257,0.034396196,0.021075644,0.002758592,0.000689648,0.021123919,0.026665241,1
1062,DGZ,0,0,0,0.051029087,0,0,0,0,0,0,0,0,0,0.948970913,1
1063,DHF,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0.833333333,0,1
1064,DHI,0,0.005557099,0.000483226,0.63165372,0.010147746,0.02444882,0,0.102066999,0.077569856,0.094072025,0.000724839,0.001449678,0.016912911,0.03491308,1
1065,DHIL,0,0,0,0,0.166666667,0.166666667,0,0,0.5,0.166666667,0,0,0,0,1
1066,DHR,0,0.04805139,0,0.337371336,0.017703144,0.045522369,0,0.240307529,0.121367694,0.134038087,0.012645103,0.007587062,0.012645103,0.022761185,1
1067,DHS,0,0,0,0.159631075,0,0,0,0,0.489535296,0.070947144,0,0,0,0.279886485,1
1068,DHT,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1069,DHX,0,0.038073482,0,0.371216448,0,0.019036741,0,0.200456882,0.123738816,0.038073482,0,0,0.00951837,0.19988578,1
1070,DHY,0,0,0,0.839156465,0,0,0,0,0.160843535,0,0,0,0,0,1
1071,DIA,0,0.001384085,0,0.266698094,0.031738027,0.066211335,0,0,0.140272213,0.308755091,0.002466686,0.001644457,0.009907856,0.170922157,1
1072,DIG,0,0.026427061,0,0.82320296,0,0,0,0,0.150369979,0,0,0,0,0,1
1073,DIN,0,0,0,0,0,0,0,0.333333333,0.333333333,0,0,0,0,0.333333333,1
1074,DIOD,0,0,0,0.087950748,0,0,0,0,0.175901495,0.64819701,0,0,0,0.087950748,1
1075,DIS,0,0.006041699,0,0.345261111,0.010984907,0.071901707,0,0.28561856,0.063295033,0.132587824,0.003844717,0.005492453,0.001098491,0.073873498,1
1076,DISCA,0,0.100925147,0,0.346005046,0,0,0,0,0.106560135,0.307737595,0,0,0,0.138772077,1
1077,DISCK,0,0.014466895,0,0.491874427,0.048222983,0.072334475,0,0,0.166562184,0.136615711,0,0,0.03539567,0.034527656,1
1078,DISH,0,0.012985327,0,0.365251266,0.010388261,0.054538372,0,0,0.242384106,0.24173484,0,0,0,0.072717829,1
1079,DJCI,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,1
1080,DJP,0,0,0,0.340151765,0.065984823,0.016496206,0,0,0.577367206,0,0,0,0,0,1
1081,DK,0,0,0,0.834254144,0,0,0,0.110497238,0,0.036832413,0,0,0,0.018416206,1
1082,DKL,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1083,DKS,0,0.028103044,0,0.477564403,0,0.032786885,0,0.148290398,0.163372365,0.112412178,0,0,0,0.037470726,1
1084,DKT,0,0.024875622,0,0.303482587,0.149253731,0,0,0.52238806,0,0,0,0,0,0,1
1085,DLB,0,0,0,0.761330409,0,0.036549708,0,0.073099415,0.129020468,0,0,0,0,0,1
1086,DLIA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1087,DLLR,0,0.027391632,0,0.171197699,0.013695816,0.013695816,0,0,0.102718619,0.558446894,0,0.013695816,0.024515511,0.074642197,1
1088,DLN,0,0,0,0.75,0.25,0,0,0,0,0,0,0,0,0,1
1089,DLPH,0,0.064829822,0,0.230145867,0,0.10534846,0,0.145867099,0.145867099,0.307941653,0,0,0,0,1
1090,DLR,0,0,0,0.479595116,0.016066838,0,0,0.258836761,0.052699229,0.144601542,0,0,0.048200514,0,1
1091,DLTR,0,0.030723777,0.010715817,0.325990448,0.026024126,0.055109914,0,0,0.039082114,0.33266487,0.001530831,0.007654155,0.009184986,0.161318964,1
1092,DLX,0,0.145273425,0,0.273632873,0.010376673,0,0,0.083013386,0.446196949,0,0,0,0.03113002,0.010376673,1
1093,DMD,0,0,0,0.070257611,0.093676815,0.093676815,0,0.093676815,0,0.18735363,0.023419204,0,0,0.43793911,1
1094,DMF,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1095,DMLP,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1096,DMND,0,0.041666667,0,0.708333333,0.083333333,0.083333333,0,0,0,0,0,0,0.083333333,0,1
1097,DMO,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1098,DMRC,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1099,DNB,0,0,0,0,0,0,0,0.571428571,0.142857143,0.142857143,0.142857143,0,0,0,1
1100,DNDN,0.01469261,0.006296833,0,0.4188863,0.004197888,0.023088387,0,0,0.110950192,0.340028965,0,0,0.004197888,0.077660937,1
1101,DNI,0,0,0,0.921568627,0,0,0,0.039215686,0,0.039215686,0,0,0,0,1
1102,DNKN,0,0,0,0.879863229,0,0.00924129,0,0,0.00924129,0.092412901,0,0,0,0.00924129,1
1103,DNN,0,0,0,0.845995893,0,0.154004107,0,0,0,0,0,0,0,0,1
1104,DNP,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1105,DNR,0,0,0,0.413198381,0.028205128,0.045883941,0,0.195411606,0.11757085,0.124156545,0.002699055,0.013495277,0.005398111,0.053981107,1
1106,DO,0,0.014407146,0,0.570522979,0,0.014407146,0,0.198962685,0.057628584,0.07203573,0,0.014407146,0.014407146,0.043221438,1
1107,DOG,0,0,0,0.685607632,0.004147657,0.199087516,0,0,0.043550394,0.067606802,0,0,0,0,1
1108,DOL,0,0,0,0.333333333,0,0,0,0,0.666666667,0,0,0,0,0,1
1109,DOLE,0,0,0,0.166666667,0,0.333333333,0,0,0,0.333333333,0,0,0,0.166666667,1
1110,DOM,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1111,DON,0,0,0,0.308437068,0,0,0,0,0.691562932,0,0,0,0,0,1
1112,DOO,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1113,DORM,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1114,DOV,0,0.049501887,0.018563208,0.324546748,0.006187736,0.10519151,0,0.328940041,0.080440567,0.024750944,0.006187736,0.024750944,0.024750944,0.006187736,1
1115,DOW,0,0.014997866,0,0.244845926,0.019612594,0.031137877,0,0.427381488,0.048685379,0.13614601,0.001153682,0.009229456,0.008075774,0.058733949,1
1116,DOX,0,0.02962963,0.007407407,0.385185185,0.044444444,0.118518519,0,0.02962963,0.162962963,0.125925926,0,0,0,0.096296296,1
1117,DPG,0,0.047619048,0,0.619047619,0,0,0,0.333333333,0,0,0,0,0,0,1
1118,DPK,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1119,DPM,0,0,0,0.017244352,0,0,0,0.93102259,0.051733057,0,0,0,0,0,1
1120,DPS,0,0.017508316,0,0.399739876,0.010004752,0.042520197,0,0.276681424,0.143493159,0.070033266,0,0,0.007503564,0.032515445,1
1121,DPZ,0,0.416666667,0,0.083333333,0,0.083333333,0,0.166666667,0,0.25,0,0,0,0,1
1122,DQ,0,0,0.25,0.75,0,0,0,0,0,0,0,0,0,0,1
1123,DRC,0,0.039968026,0,0.546229683,0,0.128563816,0,0.125366374,0.053290701,0.079936051,0.013322675,0,0,0.013322675,1
1124,DRD,0,0,0,0.333333333,0,0,0,0,0.666666667,0,0,0,0,0,1
1125,DRE,0,0,0,0.275406881,0,0.088957218,0,0.439484706,0.063616604,0.074219371,0,0,0.005301384,0.053013837,1
1126,DRH,0,0.017503172,0.008751586,0.145888942,0.010939483,0.030630552,0,0.291209032,0.282479324,0.102546712,0.00656369,0.015315276,0.024066862,0.064105369,1
1127,DRI,0,0.056853755,0,0.229675889,0.022134387,0.02055336,0,0.33543083,0.09598419,0.095620553,0.003162055,0.017391304,0.025296443,0.097897233,1
1128,DRIV,0,0.050890585,0,0.610687023,0,0,0,0,0,0.236641221,0,0,0,0.10178117,1
1129,DRN,0,0,0,0.738095238,0,0,0,0,0.119047619,0.142857143,0,0,0,0,1
1130,DRQ,0,0.020408163,0,0.428571429,0,0,0,0.285714286,0.204081633,0.020408163,0,0,0,0.040816327,1
1131,DRRX,0,0,0,0.644970414,0.088757396,0,0,0,0,0.147928994,0,0,0,0.118343195,1
1132,DRU,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1133,DRV,0,0,0,0.571428571,0,0,0,0,0.428571429,0,0,0,0,0,1
1134,DRW,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1135,DRWI,0,0,0,0.179104478,0,0.820895522,0,0,0,0,0,0,0,0,1
1136,DRYS,0,0.001836615,0,0.829102997,0.040405525,0.001836615,0,0,0.019229356,0.096569204,0,0,0.007346459,0.00367323,1
1137,DSCI,0,0,0,0.1875,0,0,0,0,0,0.8125,0,0,0,0,1
1138,DSCO,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1139,DSI,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1140,DSLV,0,0,0,0.610350525,0,0.291278178,0,0,0.047208781,0.051162516,0,0,0,0,1
1141,DSM,0,0,0,0,0,0,0,0.222222222,0.444444444,0,0,0,0.222222222,0.111111111,1
1142,DSPG,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1143,DSS,0.03125,0,0,0.9375,0,0,0,0,0.03125,0,0,0,0,0,1
1144,DST,0,0.058823529,0,0.588235294,0,0.088235294,0,0.117647059,0.058823529,0.088235294,0,0,0,0,1
1145,DSU,0,0,0,0.617647059,0,0,0,0.147058824,0.137254902,0,0,0,0,0.098039216,1
1146,DSUM,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1147,DSW,0,0,0,0.44363104,0,0.161054173,0,0.131771596,0.043923865,0.102489019,0,0,0.014641288,0.102489019,1
1148,DSWL,0,0,0,0.333333333,0,0.666666667,0,0,0,0,0,0,0,0,1
1149,DSX,0,0.009147875,0,0.812468554,0.004573938,0.009147875,0,0.018295751,0.050313315,0.082330879,0,0,0.004573938,0.009147875,1
1150,DTD,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1151,DTE,0,0.022689114,0,0.148931343,0.004537823,0.004537823,0,0.206244044,0.297590416,0.199664201,0,0,0.009075646,0.106729591,1
1152,DTH,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1153,DTK,0,0,0,0.111111111,0,0,0,0.888888889,0,0,0,0,0,0,1
1154,DTLK,0,0,0,0.714285714,0,0,0,0,0,0.142857143,0,0,0,0.142857143,1
1155,DTN,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1156,DTO,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1157,DTSI,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1158,DTT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1159,DTV,0,0.053427198,0,0.296552374,0.05971275,0.11100286,0,0,0.041327509,0.236651058,0,0,0.009428329,0.191897923,1
1160,DTYL,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1161,DTYS,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1162,DUA,0,0,0,0.5004995,0,0,0,0.4995005,0,0,0,0,0,0,1
1163,DUG,0,0,0,0.72533442,0,0.098119101,0,0,0.054321994,0.101853738,0,0,0,0.020370748,1
1164,DUK,0,0.034983383,0,0.699951898,0,0.0351583,0,0.061330243,0.034983383,0.069966766,0.006559384,0,0.010932307,0.046134336,1
1165,DUKH,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1166,DUST,0,0.002344886,0,0.844979599,0.002344886,0.052877175,0,0,0.058129719,0.02525442,0,0,0,0.014069315,1
1167,DV,0,0.066044382,0,0.438094399,0.008805918,0.004402959,0,0.114476928,0.20086298,0.026417753,0,0.004402959,0.030820712,0.105671011,1
1168,DVA,0,0,0,0.16,0,0.2,0,0.52,0.04,0.08,0,0,0,0,1
1169,DVAX,0,0.01087252,0,0.345202501,0.01630878,0.021745039,0,0,0.043490079,0.464528404,0,0,0.097852677,0,1
1170,DVM,0,0,0,0.870967742,0,0,0,0.129032258,0,0,0,0,0,0,1
1171,DVN,0,0.054814544,0.013051082,0.40844666,0.015661298,0.073086059,0,0.092714886,0.136018376,0.101798439,0.002610216,0.002610216,0.002610216,0.096578006,1
1172,DVR,0,0,0,0.883333333,0.066666667,0,0,0,0.05,0,0,0,0,0,1
1173,DVY,0,0,0,0.315893256,0.004381929,0,0,0,0.597914202,0.068927742,0,0,0,0.012882871,1
1174,DW,0,0.066666667,0,0.066666667,0,0,0,0.666666667,0.2,0,0,0,0,0,1
1175,DWA,0,0.091203891,0,0.695987029,0,0.010133766,0,0,0.020267531,0.07093636,0,0,0.030401297,0.081070126,1
1176,DWAS,0,0,0,0.646017699,0,0,0,0,0.353982301,0,0,0,0,0,1
1177,DWCH,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1178,DWRE,0,0,0,0.26446281,0,0.389421488,0,0.180991736,0,0.11553719,0,0,0,0.049586777,1
1179,DWSN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1180,DWX,0,0,0,0.635701275,0.182149362,0,0,0,0,0,0,0,0,0.182149362,1
1181,DX,0,0.113207547,0,0.471698113,0,0.150943396,0,0.075471698,0.113207547,0.075471698,0,0,0,0,1
1182,DXCM,0,0,0,0.463768116,0.028985507,0.115942029,0,0,0.057971014,0.231884058,0,0.014492754,0,0.086956522,1
1183,DXD,0,0,0,0.892728781,0.011058889,0.016588333,0,0,0.038153166,0.019353055,0,0,0,0.022117777,1
1184,DXJ,0,0.001950357,0.001300238,0.219545177,0.013593988,0.018203331,0,0,0.527285493,0.032505949,0.000650119,0.000650119,0.002600476,0.181714754,1
1185,DXLG,0,0.019230769,0,0.769230769,0,0.019230769,0,0,0.057692308,0.115384615,0,0,0,0.019230769,1
1186,DXPE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1187,DXYN,0,0,0,0.528835281,0,0,0,0,0,0.471164719,0,0,0,0,1
1188,DY,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,1
1189,DYAX,0,0,0,0.28,0,0,0,0,0,0.72,0,0,0,0,1
1190,DYN,0,0.020833333,0,0.5625,0,0.0625,0,0.125,0,0.145833333,0.041666667,0,0,0.041666667,1
1191,DZK,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1192,DZZ,0,0.000859956,0,0.918218171,0,0,0,0,0.073182268,0,0,0,0,0.007739605,1
1193,E,0,0,0,0.062073246,0,0,0,0.073601135,0.547663386,0.140551565,0,0,0,0.176110668,1
1194,EA,0,0,0,0.476190476,0,0.163265306,0,0,0.054421769,0.224489796,0,0,0,0.081632653,1
1195,EAB,0,0,0,0.076814658,0,0,0,0.12248062,0.800704722,0,0,0,0,0,1
1196,EAC,0,0,0,0.818181818,0,0.090909091,0,0,0,0,0,0,0,0.090909091,1
1197,EAD,0,0,0,0.525114155,0.01826484,0,0,0,0.456621005,0,0,0,0,0,1
1198,EAT,0,0.021751772,0.008878274,0.469984774,0.019585473,0.079882274,0,0.159631374,0.103920202,0.065503909,0.001331741,0,0.02485029,0.044679916,1
1199,EBAY,0.000792136,0.013379172,0.001584271,0.504012167,0.021922355,0.070519879,0,0,0.096412814,0.194049477,0.001584271,0.003366577,0.011826586,0.080550297,1
1200,EBF,0,0,0,0.250626566,0,0,0,0,0,0.749373434,0,0,0,0,1
1201,EBIX,0,0,0,0.422457627,0.01059322,0.244173729,0,0,0.021186441,0.21684322,0,0,0.063559322,0.021186441,1
1202,EBND,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1203,EBR,0,0.0560028,0,0.336016801,0.00700035,0,0,0.441022051,0.00700035,0.110955548,0,0,0,0.0420021,1
1204,EBS,0,0,0,0.827586207,0,0,0,0.172413793,0,0,0,0,0,0,1
1205,EC,0,0.079631924,0,0.362767652,0.035391966,0.159263847,0,0.301008671,0.035391966,0.017695983,0,0,0.008847992,0,1
1206,ECA,0,0.03132157,0.000380439,0.425544218,0.06277249,0.05327292,0,0.128527624,0.111795902,0.092416322,0.004945711,0.018261088,0.007989226,0.06277249,1
1207,ECF,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1208,ECH,0,0,0,0.455580866,0,0.056947608,0,0,0.3023918,0.185079727,0,0,0,0,1
1209,ECL,0,0.079754859,0,0.273685094,0.025185745,0.224153129,0,0.164714771,0.081391932,0.054569114,0.008395248,0.008395248,0.025185745,0.054569114,1
1210,ECOL,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0.75,1
1211,ECON,0,0,0,0.947867299,0,0,0,0,0.033175355,0,0,0,0,0.018957346,1
1212,ECPG,0,0.009009009,0,0.828828829,0.009009009,0,0,0,0,0.117117117,0,0,0.036036036,0,1
1213,ECT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1214,ECTE,0,0,0,0.137931034,0,0,0,0,0,0.862068966,0,0,0,0,1
1215,ECTY,0,0,0,0.889227361,0,0,0,0,0.069232899,0.04153974,0,0,0,0,1
1216,ECYT,0,0.002185171,0.006555514,0.521622271,0.021851714,0.127461049,0,0,0.169001158,0.090138321,0,0,0,0.0611848,1
1217,ED,0,0.031328321,0,0.617669173,0.018796992,0.006265664,0,0.137969925,0.07518797,0.043859649,0,0,0,0.068922306,1
1218,EDC,0,0.052750963,0,0.611911167,0.005275096,0.044099805,0,0,0.047475866,0.180461043,0,0.036925674,0.005275096,0.015825289,1
1219,EDD,0,0.075657273,0,0.680915453,0,0,0,0.196141479,0,0,0,0,0.047285795,0,1
1220,EDE,0,0.153374233,0,0.386503067,0,0,0,0.153374233,0,0.076687117,0,0,0,0.23006135,1
1221,EDF,0,0,0,0.857142857,0,0.071428571,0,0,0,0,0,0,0.071428571,0,1
1222,EDI,0,0,0,0.142857143,0,0,0,0.714285714,0,0,0,0,0,0.142857143,1
1223,EDIV,0,0,0,0.373408769,0,0,0,0,0,0,0,0,0,0.626591231,1
1224,EDMC,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1225,EDR,0,0,0,0.346759136,0,0,0,0.333155508,0.186716458,0.080021339,0.053347559,0,0,0,1
1226,EDT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1227,EDU,0,0.040768486,0,0.294976983,0.015288182,0.064193379,0,0.293465151,0.031255839,0.190405816,0,0.001698687,0.011890808,0.056056668,1
1228,EDV,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1229,EDZ,0,0,0,0.321847507,0,0,0,0,0.274926686,0.293255132,0,0,0.073313783,0.036656891,1
1230,EE,0,0,0,0.096284459,0.039952058,0.079904115,0,0.783859369,0,0,0,0,0,0,1
1231,EEB,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1232,EEFT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1233,EELV,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1234,EEM,0,0.024901869,0,0.387375528,0.089672252,0.026598344,0,0,0.213937977,0.122221221,6.82411E-05,0.002934368,0.02125984,0.111030359,1
1235,EEMS,0,0,0,0.25,0,0,0,0,0.5,0,0,0,0,0.25,1
1236,EEMV,0,0.115030675,0,0.228144172,0.115030675,0,0,0,0.191717791,0.158358896,0,0,0,0.191717791,1
1237,EEP,0,0.000477566,0,0.978151341,0,0,0,0.004775663,0.015162731,0.000477566,0,0,0,0.000955133,1
1238,EEQ,0,0,0,0.352071006,0,0.098619329,0,0.549309665,0,0,0,0,0,0,1
1239,EEV,0,0,0,0.670114437,0,0,0,0,0,0.022007042,0,0,0,0.307878521,1
1240,EFA,0,0.002285969,0.000571492,0.31517512,0.045387915,0.097342275,0,0,0.1694846,0.150388186,0,0.008286638,0.018859244,0.192218561,1
1241,EFAV,0,0,0,0.760479042,0,0.239520958,0,0,0,0,0,0,0,0,1
1242,EFC,0,0,0,0.632148377,0,0,0,0.151468315,0.216383308,0,0,0,0,0,1
1243,EFG,0,0,0,0.623700624,0,0,0,0,0.116424116,0,0,0,0,0.25987526,1
1244,EFII,0,0.019976029,0,0.620455453,0,0.119856173,0,0,0.139832201,0.019976029,0,0,0,0.079904115,1
1245,EFR,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0.6,1
1246,EFSC,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1247,EFT,0,0,0,0.074074074,0,0,0,0.62962963,0.148148148,0.074074074,0,0,0,0.074074074,1
1248,EFU,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1249,EFV,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1250,EFX,0,0.029726715,0,0.446179587,0.01115449,0.035805912,0,0.100780814,0.118962632,0.18404908,0.01115449,0.005577245,0.023145566,0.033463469,1
1251,EFZ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1252,EGAN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1253,EGBN,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1254,EGHT,0,0.008097494,0,0.854649986,0.020243735,0.040487469,0,0,0.028341228,0.044131341,0,0,0,0.004048747,1
1255,EGL,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1256,EGLE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1257,EGN,0,0,0,0.384615385,0,0.076923077,0,0.307692308,0.153846154,0,0,0,0,0.076923077,1
1258,EGO,0,0.074720112,0,0.403988405,0.013328002,0.014161002,0,0.255647741,0.075803012,0.087465014,0.003332001,0.020825003,0.011662002,0.039067706,1
1259,EGOV,0,0.015384615,0,0.830769231,0.007692308,0.007692308,0,0,0.038461538,0.038461538,0,0,0,0.061538462,1
1260,EGP,0,0.25,0,0.5,0,0,0,0.25,0,0,0,0,0,0,1
1261,EGY,0,0.006802721,0,0.816326531,0,0.013605442,0,0.040816327,0.081632653,0.006802721,0,0,0,0.034013605,1
1262,EHI,0,0,0.513089005,0.45026178,0,0,0,0.036649215,0,0,0,0,0,0,1
1263,EHTH,0,0.012521913,0,0.3756574,0,0.298772852,0,0,0.100175307,0.212872527,0,0,0,0,1
1264,EIDO,0,0,0,0.156924284,0.026154047,0,0,0,0.589119916,0.139488252,0,0,0,0.0883135,1
1265,EIG,0,0,0,0.22246941,0,0,0,0.22246941,0.332591769,0.111234705,0.111234705,0,0,0,1
1266,EIM,0,0,0,0.329608939,0.415270019,0.106145251,0,0,0,0,0,0,0.148975791,0,1
1267,EIRL,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1268,EIS,0,0,0,0.434782609,0,0,0,0,0.565217391,0,0,0,0,0,1
1269,EIX,0,0.02259887,0,0.485875706,0,0,0,0.254237288,0.06779661,0.11299435,0.011299435,0,0.011299435,0.033898305,1
1270,EJ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1271,EL,0,0.033045934,0.001502088,0.265178598,0.00751044,0.11858984,0,0.469883138,0.06391384,0.013338541,0.00751044,0,0.004506264,0.015020879,1
1272,ELD,0,0,0,0.697685293,0,0,0,0,0.163666121,0,0,0,0,0.138648585,1
1273,ELGX,0,0,0,0,0,0,0,0,0.333333333,0.666666667,0,0,0,0,1
1274,ELLI,0,0,0,0.333333333,0,0,0,0.666666667,0,0,0,0,0,0,1
1275,ELN,0,0.020372823,0.004074565,0.47672405,0.048894774,0.01833554,0,0.111907915,0.085565855,0.06503005,0.006111847,0,0.002037282,0.160945299,1
1276,ELNK,0,0.002904444,0,0.722218995,0.008713331,0.011617775,0,0,0.037757769,0.158698809,0,0,0.002904444,0.055184432,1
1277,ELOS,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,1
1278,ELP,0,0.033664366,0,0.039275094,0,0.069516916,0,0.476967963,0.10879201,0.153677832,0.005610728,0,0.005610728,0.106884363,1
1279,ELRC,0,0,0,0.857142857,0,0.071428571,0,0,0,0,0,0,0,0.071428571,1
1280,ELS,0,0.074906367,0,0.299625468,0.074906367,0,0,0.400749064,0.074906367,0,0.074906367,0,0,0,1
1281,ELX,0,0,0,0.131795717,0.016474465,0.049423394,0,0.588138386,0.016474465,0.18121911,0,0,0,0.016474465,1
1282,ELY,0,0,0,0.111111111,0,0,0,0.333333333,0.111111111,0.111111111,0,0,0.111111111,0.222222222,1
1283,EMAN,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1284,EMB,0,0,0,0.390938984,0.007307271,0,0,0,0.389842894,0.09499452,0,0,0,0.116916332,1
1285,EMC,0,0.011284117,0,0.507805236,0.029657401,0.031483752,0,0.223641423,0.051372341,0.071169446,0.013306742,0.006819705,0.007355302,0.046104534,1
1286,EMCI,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
